feature,importance
f5,0.397989756198811
f4,0.22020711076271882
f11,0.08587059453781998
f32,0.0398586192070528
f9,0.0337380231831643
f2_ecr_i,0.02810956464099699
f33,0.02114950536654883
f1_icmp,0.01906916191435445
f2_http,0.018063778749440613
f35,0.015379243830669811
f3_SF,0.013399055403420818
f34,0.010380388777610931
f22,0.009153476685192601
f2_domain_u,0.007966523377438363
f36,0.007179351604619868
f2_ftp_data,0.007169180552753195
f23,0.006843850913336626
f12,0.006512374727245349
f0,0.006339480366701925
f39,0.004782394328662888
f2_private,0.00447579223654505
f1_tcp,0.003857323761189131
f31,0.003574234293422876
f29,0.003181434862440643
f37,0.0024510267460184183
f38,0.002253008828995236
f28,0.0021893228401429973
f40,0.0019085954946718683
f2_urp_i,0.0016585149038685853
f2_eco_i,0.0016430592377582422
f1_udp,0.0012908382403276134
f2_ftp,0.001236338137058507
f3_REJ,0.0012247659183207327
f26,0.0011229008895917451
f27,0.000984658547315657
f21,0.0007912726872940033
f24,0.0007822340201582169
f7,0.000723758178769093
f25,0.0006356654072590928
f3_RSTO,0.0006192975149314749
f3_S1,0.0004727896754322201
f2_smtp,0.00046007874078664133
f2_finger,0.0004326093933429503
f2_other,0.0004223252375574202
f15,0.00033177895498673636
f16,0.0002282247627470781
f10,0.00021854505884344317
f3_S0,0.00020659964714399103
f2_telnet,0.00020078584645700611
f2_auth,0.00016310933420603542
f3_RSTR,0.00014494559835811103
f2_pm_dump,0.00014464539252305553
f17,0.00011624832130368678
f2_X11,0.0001159524935660011
f2_time,0.00011374577065621887
f13,9.467785718466739e-05
f30,8.14748432700522e-05
f2_imap4,7.921920224116829e-05
f2_IRC,5.255636528979847e-05
f18,4.9946846311268535e-05
f2_tim_i,2.414847664282259e-05
f8,2.1142067321897154e-05
f3_RSTOS0,1.9934780734312797e-05
f14,1.2547822264048156e-05
f3_S2,8.20484540846744e-06
f2_red_i,7.670883258473112e-06
f6,3.2151851506022975e-06
f2_ssh,2.4593945053218822e-06
f2_ntp_u,2.139888627131457e-06
f2_pop_3,1.261818173111417e-06
f3_S3,5.543168890432443e-07
f3_SH,4.174859854427796e-07
f3_OTH,3.624144629828104e-07
f2_domain,2.0299288702750343e-07
f2_gopher,3.939629333254756e-10
f2_klogin,1.687938321477011e-11
f2_shell,0.0
f2_rje,0.0
f2_hostnames,0.0
f2_kshell,0.0
f2_aol,0.0
f2_Z39_50,0.0
f2_echo,0.0
f2_ctf,0.0
f2_daytime,0.0
f2_discard,0.0
f2_csnet_ns,0.0
f2_efs,0.0
f2_exec,0.0
f2_harvest,0.0
f2_bgp,0.0
f2_courier,0.0
f2_remote_job,0.0
f2_printer,0.0
f2_nntp,0.0
f2_nnsp,0.0
f2_netstat,0.0
f2_pop_2,0.0
f2_netbios_ssn,0.0
f2_ldap,0.0
f2_link,0.0
f2_login,0.0
f2_mtp,0.0
f2_name,0.0
f2_netbios_dgm,0.0
f2_netbios_ns,0.0
f2_iso_tsap,0.0
f2_http_8001,0.0
f2_http_2784,0.0
f2_http_443,0.0
f2_tftp_u,0.0
f2_systat,0.0
f2_supdup,0.0
f2_sql_net,0.0
f2_vmnet,0.0
f2_whois,0.0
f2_sunrpc,0.0
f2_urh_i,0.0
f2_uucp,0.0
f2_uucp_path,0.0
f19,0.0
f20,0.0
